Neighbourhood ID,Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed
1010,ALBERTA AVENUE,2288,284793.4877622381,264000,90331.67924387683,1943,6.512237762237762,281104.7218326321,383.9739696119682,FALSE
1020,BOYLE STREET,1077,170430.36211699137,103500,591299.0061405369,1981,93.87186629526462,707219.6969696968,497.2472727272728,FALSE
1030,CENTRAL MCDOUGALL,956,171270.3974895395,108500,185151.07557801352,1978,88.17991631799164,427818.58407079644,688.0883628318584,FALSE
1070,CROMDALE,705,210263.82978723355,128000,240830.77071777274,1979,78.58156028368795,573072.8476821191,552.1288940397351,FALSE
1080,DELTON,734,324314.7138964578,306500,101478.6370645437,1953,3.5422343324250685,323119.3502824859,524.8051129943503,FALSE
1090,DOWNTOWN,5722,243676.4243271529,214500,200286.32150936156,2003,99.860188745194,397437.5,359.557125,FALSE
1100,EASTWOOD,1050,282896.6666666669,279000,123811.19169938678,1969,22.952380952380953,316216.3164400493,519.2649456118664,FALSE
1111,BLATCHFORD AREA,415,381060.24096385646,156000,297791.89793915267,2024,8.19277108433735,380124.67191601126,240.1312283464567,FALSE
1120,EDMONTON NORTHLANDS,11,NA,NA,NA,NA,NA,NA,NA,TRUE
1130,ELMWOOD PARK,395,305275.9493670887,328500,134701.9074167969,1960,16.20253164556962,350820.2416918429,676.4115528700906,FALSE
1140,MCCAULEY,816,284188.72549019626,253500,395332.1232228296,1947,10.049019607843137,288464.5776566757,363.8584128065395,FALSE
1151,WÎHKWÊNTÔWIN,7475,216097.19063544838,166500,190640.81745322846,1979,98.06020066889633,581234.4827586206,295.5493310344827,FALSE
1160,PARKDALE,1430,247838.1118881126,248500,108548.28613066587,1955,30.419580419580424,286232.66331658285,411.10227939698495,FALSE
1170,PRINCE RUPERT,473,336883.72093023267,375000,152907.0845085505,1953,24.52431289640592,408407.5630252101,585.2820728291317,FALSE
1180,QUEEN MARY PARK,2117,213501.4170996691,179500,148059.33563759644,1992,81.34152102031176,451310.1265822785,757.9583696202532,FALSE
1190,RIVER VALLEY KINNAIRD,1,NA,NA,NA,NA,NA,NA,NA,TRUE
1210,RIVERDALE,865,537877.456647399,485500,443168.39560588513,2002,36.1849710982659,655690.2173913042,511.3869764492753,FALSE
1220,ROSSDALE,356,516313.2022471908,494750,280435.24686523376,1993,35.674157303370784,647244.541484716,317.5988864628821,FALSE
1230,SPRUCE AVENUE,537,342263.5009310986,337000,127526.5846195825,1949,17.318435754189945,362737.61261261266,588.0035563063063,FALSE
1240,VIRGINIA PARK,206,453376.2135922329,393000,294787.80374419305,1951,11.165048543689322,498882.5136612023,484.0054153005464,FALSE
1250,WESTWOOD,680,319561.7647058826,320750,175970.9605255377,1968,32.64705882352941,402280.5676855898,573.8683646288209,FALSE
2010,ABBOTTSFIELD,376,169148.93617021278,165500,10637.438234771642,1972,100,NA,NA,FALSE
2020,BALWIN,1238,307486.2681744749,332000,99151.3433987867,1963,8.319870759289175,320040.52863436134,535.5263066079295,FALSE
2030,BANNERMAN,1151,257951.34665508298,233000,119370.44560094252,1978,51.52041702867072,367206.98924731184,562.1281738351254,FALSE
2040,BEACON HEIGHTS,1131,301945.6233421751,305500,90105.32630301635,1959,7.427055702917771,316069.72301814717,563.9176313276026,FALSE
2050,BELLE RIVE,1268,483452.6813880122,500750,133056.72058399644,1999,14.74763406940063,511315.44865864917,534.3000120259019,FALSE
2060,BELLEVUE,470,383619.1489361701,341000,140882.11911930863,1948,0,383619.1489361701,476.98466808510636,FALSE
2070,BELMONT,1653,309104.3557168785,316000,106058.88950941472,1976,37.99153055051422,374003.4146341463,517.4328897560976,FALSE
2080,BELVEDERE,1757,231436.53955606063,266500,129561.08811970169,1970,48.94706886738759,331739.1304347826,554.8092552954292,FALSE
2090,BERGMAN,636,354652.5157232705,362750,118119.34246569147,1985,7.3899371069182385,365890.49235993205,584.1809303904923,FALSE
2100,BEVERLY HEIGHTS,1219,352334.2904019688,336000,102168.54786555718,1959,0.4922067268252666,352897.77411376743,563.6096784830997,FALSE
2110,BRINTNELL,1757,470994.3084803645,474500,81359.0321280817,2006,7.285145133750712,484543.8919582569,420.82065500306936,FALSE
2120,CANON RIDGE,938,231432.30277185488,220000,92495.84173194594,2004,81.87633262260128,382358.82352941175,553.3709823529412,FALSE
2130,CASSELMAN,1196,283175.1672240807,204250,260872.8181328169,1977,71.48829431438128,490941.34897360706,720.713348973607,FALSE
2145,CLAREVIEW TOWN CENTRE,1645,223184.4984802433,171500,106170.57717012281,2006,89.54407294832826,426558.1395348837,412.16501744186047,FALSE
2160,CLOVER BAR AREA,31,NA,NA,NA,NA,NA,NA,NA,TRUE
2230,DELWOOD,1359,356026.49006622547,367000,85131.88480397966,1966,3.237674760853569,361534.22053231933,574.3800281368822,FALSE
2241,EAUX CLAIRES,1422,354176.160337553,344750,181684.54872134406,2003,45.639943741209564,487643.59637774905,585.5742742561451,FALSE
2251,EBBERS,517,409882.97872340464,430000,164063.4813456823,2017,29.013539651837522,496903.26975476847,354.75175204359675,FALSE
2260,EVANSDALE,1586,313989.2812105923,368500,128049.17188843,1972,27.994955863808325,383232.0490367776,601.4639947460596,FALSE
2280,FRASER,1628,419329.54545454425,380500,246017.9846475563,1984,21.62162162162162,493137.14733542176,520.8603879310346,FALSE
2290,GLENGARRY,1159,312589.3011216567,355000,106086.8538463191,1962,14.49525452976704,341304.2381432897,495.18837840565084,FALSE
2311,GORMAN,145,509768.9655172413,566000,384438.5698141226,2024,0,509768.9655172413,4924.770068965518,FALSE
2320,HAIRSINE,825,244508.48484848518,202500,92904.44864701261,1979,64.72727272727272,358393.470790378,633.4478969072164,FALSE
2330,HIGHLANDS,1142,496425.131348511,435500,242189.48577311306,1950,2.276707530647986,505270.1612903228,559.5259130824372,FALSE
2340,HOLLICK-KENYON,1854,435382.1467098156,449750,126808.02509639686,2004,12.998921251348436,467867.3279603224,458.08863918164906,FALSE
2350,HOMESTEADER,1016,309170.76771653583,326750,432575.7675844568,1975,36.51574803149607,377122.480620155,1113.5060697674421,FALSE
