rule_id,rule_slug,rule_label,polarity,year,precision,recall,f1,true_pos,false_pos,false_neg,true_neg,rows_scored,rows_kept,rows_dropped,notes
parking,condo_parking_value_cluster,n_at_coord >= 20 AND Assessed Value <= 80000 AND value repeats >= 10x at coord,drop,2023,0.9860982600257272,0.9916033132871894,0.9888431248302708,43695,616,370,370874,415555,44311,371244,"Detects condo parking stalls in public data via spatial+value clustering. Ground truth: 3 Luc 1 strings (Residential/Non-residential condominium parking stall, Accessory structure in residential condominium complex). FPs include 408 Manufactured homes that share the value-clustering signature. First validated rule for the platform."
r1,residential_class,Assessment Class 1 == 'RESIDENTIAL',keep,2023,0.9872169167003758,0.996667840517994,0.9919198672307692,336793,4361,1126,28964,371244,341154,30090,NA
r3,manufactured_homes,"is.na(lot_size) [Property Information join, dkk9-cj3x]",drop,2023,1,0.9493127147766323,0.9739973556632878,2210,0,118,338826,341154,2210,338944,"Removes manufactured homes on leased land via NA lot_size (Property Information join, dkk9-cj3x). Ground truth: 2 Luc 1 strings (building only + building and land). Structural FNs: ~104 rows of type 'building and land' own their lot and have lot_size > 0 — not catchable by this predicate. See [OPEN] R3b for a follow-on rule targeting those."
