neighbourhood_id,display_name,civic_ward,planning_district,census_state,n_businesses_2025,n_employees_2025,n_businesses_2024,n_employees_2024,yoy_businesses_change,yoy_employees_change,yoy_businesses_pct,yoy_employees_pct
2580,NORTHMOUNT,tastawiyiniwak,Northwest,data,50,760,NA,NA,NA,NA,NA,NA
4350,NORWESTER INDUSTRIAL,Nakota Isga,Jasper Place,data,85,1958,76,1549,9,409,11.8,26.4
5300,OGILVIE RIDGE,pihêsiwin,Whitemud,no_data,NA,NA,NA,NA,NA,NA,NA,NA
4360,OLESKIW,sipiwiyiniwak,West Edmonton,data,18,220,17,184,1,36,5.9,19.6
4380,ORMSBY PLACE,sipiwiyiniwak,West Edmonton,data,6,92,2,5,4,87,200,1740
6550,OTTEWELL,Métis,Southeast,data,75,1466,63,1113,12,353,19,31.7
2590,OVERLANDERS,Dene,Northeast,data,10,158,NA,NA,NA,NA,NA,NA
3320,OXFORD,Anirniq,Northwest,data,3,18,NA,NA,NA,NA,NA,NA
2600,OZERNA,tastawiyiniwak,Northeast,data,9,86,NA,NA,NA,NA,NA,NA
5469,PAISLEY,Ipiihkoohkanipiaohtsi,Southwest,data,2,7,NA,NA,NA,NA,NA,NA
6560,PAPASCHASE INDUSTRIAL,Karhiio,Southeast,data,471,5667,377,6599,94,-932,24.9,-14.1
5310,PARKALLEN,papastew,Scona,data,44,405,33,273,11,132,33.3,48.4
1160,PARKDALE,Métis,North Central,data,88,871,71,769,17,102,23.9,13.3
3330,PARKVIEW,sipiwiyiniwak,Jasper Place,data,9,315,5,79,4,236,80,298.7
6570,PARSONS INDUSTRIAL,Karhiio,Mill Woods and Meadows,data,483,7492,NA,NA,NA,NA,NA,NA
4390,PATRICIA HEIGHTS,sipiwiyiniwak,Jasper Place,data,13,163,10,120,3,43,30,35.8
3340,PEMBINA,Anirniq,Northwest,data,125,1773,NA,NA,NA,NA,NA,NA
4478,PINTAIL LANDING,Nakota Isga,West Henday,data,2,121,NA,NA,NA,NA,NA,NA
4400,PLACE LARUE,Nakota Isga,West Edmonton,data,121,3603,103,3316,18,287,17.5,8.7
5320,PLEASANTVIEW,papastew,Scona,data,106,1145,100,1381,6,-236,6,-17.1
6580,POLLARD MEADOWS,Sspomitapi,Mill Woods and Meadows,data,5,273,NA,NA,NA,NA,NA,NA
4710,POTTER GREENS,Nakota Isga,West Henday,data,9,132,NA,NA,NA,NA,NA,NA
4410,POUNDMAKER INDUSTRIAL,Nakota Isga,Jasper Place,data,21,430,15,304,6,126,40,41.4
3350,PRINCE CHARLES,Anirniq,Central,data,77,1469,48,773,29,696,60.4,90
1170,PRINCE RUPERT,O-day'min,Central,data,171,3669,147,2735,24,934,16.3,34.1
6590,PYLYPOW INDUSTRIAL,Sspomitapi,Southeast,data,322,6807,288,6289,34,518,11.8,8.2
2692,QUARRY RIDGE,Dene,Horse Hill,data,1,25,NA,NA,NA,NA,NA,NA
5330,QUEEN ALEXANDRA,papastew,Scona,data,237,2580,146,1780,91,800,62.3,44.9
1180,QUEEN MARY PARK,O-day'min,Central,data,573,6133,393,4044,180,2089,45.8,51.7
4420,QUESNELL HEIGHTS,sipiwiyiniwak,Jasper Place,no_data,NA,NA,NA,NA,NA,NA,NA,NA
3360,RAMPART INDUSTRIAL,Anirniq,Northwest,data,39,1158,NA,NA,NA,NA,NA,NA
5340,RAMSAY HEIGHTS,pihêsiwin,Whitemud,data,15,159,NA,NA,NA,NA,NA,NA
3370,RAPPERSWILL,Anirniq,Northwest,data,38,669,NA,NA,NA,NA,NA,NA
5350,RHATIGAN RIDGE,pihêsiwin,Whitemud,data,13,250,NA,NA,NA,NA,NA,NA
6600,RICHFIELD,Karhiio,Mill Woods and Meadows,data,7,159,NA,NA,NA,NA,NA,NA
5451,RICHFORD,Ipiihkoohkanipiaohtsi,Southwest,data,13,123,NA,NA,NA,NA,NA,NA
5360,RIDEAU PARK,papastew,Whitemud,data,64,906,NA,NA,NA,NA,NA,NA
4430,RIO TERRACE,sipiwiyiniwak,Jasper Place,data,1,60,NA,NA,NA,NA,NA,NA
6610,RITCHIE,papastew,Scona,data,272,2378,233,2366,39,12,16.7,0.5
4467,RIVER VALLEY CAMERON,sipiwiyiniwak,West Edmonton,data,2,111,1,53,1,58,100,109.4
3380,RIVER VALLEY CAPITOL HILL,Nakota Isga,Jasper Place,data,2,6,1,8,1,-2,100,-25
5401,RIVER VALLEY FORT EDMONTON,pihêsiwin,Whitemud,data,2,89,NA,NA,NA,NA,NA,NA
3381,RIVER VALLEY GLENORA,Nakota Isga,Central,no_data,NA,NA,NA,NA,NA,NA,NA,NA
6620,RIVER VALLEY GOLD BAR,Métis,Southeast,data,1,169,1,173,0,-4,0,-2.3
2630,RIVER VALLEY HERMITAGE,Dene,Northeast,no_data,NA,NA,NA,NA,NA,NA,NA,NA
2640,RIVER VALLEY HIGHLANDS,Métis,North Central,data,1,16,1,16,0,0,0,0
5571,RIVER VALLEY KENDAL,pihêsiwin,Southwest,no_data,NA,NA,NA,NA,NA,NA,NA,NA
5572,RIVER VALLEY KESWICK,pihêsiwin,Southwest,no_data,NA,NA,NA,NA,NA,NA,NA,NA
1190,RIVER VALLEY KINNAIRD,Métis,North Central,data,2,21,2,204,0,-183,0,-89.7
3382,RIVER VALLEY LAURIER,sipiwiyiniwak,Jasper Place,data,3,91,3,132,0,-41,0,-31.1
4440,RIVER VALLEY LESSARD NORTH,sipiwiyiniwak,Jasper Place,no_data,NA,NA,NA,NA,NA,NA,NA,NA
5370,RIVER VALLEY MAYFAIR,papastew,Scona,data,2,124,2,110,0,14,0,12.7
4451,RIVER VALLEY OLESKIW,sipiwiyiniwak,West Edmonton,data,1,120,1,120,0,0,0,0
6630,RIVER VALLEY RIVERSIDE,Métis,Southeast,data,2,30,2,31,0,-1,0,-3.2
2650,RIVER VALLEY RUNDLE,Métis,North Central,data,5,64,2,47,3,17,150,36.2
5380,RIVER VALLEY TERWILLEGAR,pihêsiwin,Whitemud,no_data,NA,NA,NA,NA,NA,NA,NA,NA
1200,RIVER VALLEY VICTORIA,O-day'min,Central,data,6,322,5,308,1,14,20,4.5
5390,RIVER VALLEY WALTERDALE,papastew,Scona,data,10,219,10,181,0,38,0,21
5400,RIVER VALLEY WHITEMUD,papastew,Scona,data,1,30,1,30,0,0,0,0
5405,RIVER VALLEY WINDERMERE,pihêsiwin,Southwest,data,2,191,NA,NA,NA,NA,NA,NA
4469,RIVER'S EDGE,sipiwiyiniwak,West Henday,data,1,30,NA,NA,NA,NA,NA,NA
1210,RIVERDALE,O-day'min,Central,data,18,451,11,310,7,141,63.6,45.5
4463,RIVERVIEW AREA,sipiwiyiniwak,West Henday,no_data,NA,NA,NA,NA,NA,NA,NA,NA
6640,ROPER INDUSTRIAL,Karhiio,Southeast,data,318,8979,298,7453,20,1526,6.7,20.5
6650,ROSEDALE INDUSTRIAL,papastew,Southeast,data,165,2281,160,2900,5,-619,3.1,-21.3
4750,ROSENTHAL,Nakota Isga,West Henday,data,4,10,NA,NA,NA,NA,NA,NA
1220,ROSSDALE,O-day'min,Central,data,21,716,15,591,6,125,40,21.2
3390,ROSSLYN,Anirniq,Northwest,data,45,901,NA,NA,NA,NA,NA,NA
5430,ROYAL GARDENS,papastew,Whitemud,data,20,380,NA,NA,NA,NA,NA,NA
2660,RUNDLE HEIGHTS,Métis,North Central,data,25,258,18,108,7,150,38.9,138.9
2670,RURAL NORTH EAST HORSE HILL,Dene,Horse Hill,no_data,NA,NA,NA,NA,NA,NA,NA,NA
2690,RURAL NORTH EAST SOUTH STURGEON,Dene,Horse Hill,no_data,NA,NA,NA,NA,NA,NA,NA,NA
5454,RUTHERFORD,Ipiihkoohkanipiaohtsi,Southwest,data,39,428,NA,NA,NA,NA,NA,NA
6670,SAKAW,Karhiio,Mill Woods and Meadows,data,13,127,NA,NA,NA,NA,NA,NA
6680,SATOO,Karhiio,Mill Woods and Meadows,data,8,101,NA,NA,NA,NA,NA,NA
2700,SCHONSEE,tastawiyiniwak,Northeast,data,18,285,NA,NA,NA,NA,NA,NA
4487,SECORD,Nakota Isga,West Henday,data,33,463,NA,NA,NA,NA,NA,NA
4490,SHEFFIELD INDUSTRIAL,Nakota Isga,Jasper Place,data,95,1281,84,1193,11,88,13.1,7.4
3410,SHERBROOKE,Anirniq,Central,data,22,190,8,79,14,111,175,140.5
4500,SHERWOOD,sipiwiyiniwak,Jasper Place,data,21,133,11,93,10,40,90.9,43
2710,SIFTON PARK,Dene,Northeast,data,5,76,NA,NA,NA,NA,NA,NA
6442,SILVER BERRY,Sspomitapi,Mill Woods and Meadows,data,66,968,NA,NA,NA,NA,NA,NA
5460,SKYRATTLER,Ipiihkoohkanipiaohtsi,Whitemud,data,23,334,NA,NA,NA,NA,NA,NA
6195,SOUTH EDMONTON COMMON,Karhiio,Mill Woods and Meadows,data,191,4834,NA,NA,NA,NA,NA,NA
5642,SOUTH TERWILLEGAR,pihêsiwin,Whitemud,data,8,34,NA,NA,NA,NA,NA,NA
6690,SOUTHEAST INDUSTRIAL,Sspomitapi,Southeast,data,261,7085,240,5809,21,1276,8.8,22
1230,SPRUCE AVENUE,O-day'min,North Central,data,258,4570,253,4169,5,401,2,9.6
4474,STARLING,Nakota Isga,West Henday,no_data,NA,NA,NA,NA,NA,NA,NA,NA
5470,STEINHAUER,Ipiihkoohkanipiaohtsi,Whitemud,data,40,1114,NA,NA,NA,NA,NA,NA
4486,STEWART GREENS,Nakota Isga,West Henday,no_data,NA,NA,NA,NA,NA,NA,NA,NA
4468,STILLWATER,sipiwiyiniwak,West Henday,data,1,2,NA,NA,NA,NA,NA,NA
4510,STONE INDUSTRIAL,Nakota Isga,Jasper Place,data,336,6880,309,6546,27,334,8.7,5.1
5480,STRATHCONA,papastew,Scona,data,536,4267,304,3909,232,358,76.3,9.2
6700,STRATHCONA INDUSTRIAL PARK,Karhiio,Mill Woods and Meadows,data,853,12514,NA,NA,NA,NA,NA,NA
5151,STRATHCONA JUNCTION,papastew,Scona,data,252,3232,232,3052,20,180,8.6,5.9
6710,STRATHEARN,Métis,Southeast,data,23,125,18,137,5,-12,27.8,-8.8
4730,SUDER GREENS,Nakota Isga,West Henday,data,22,350,NA,NA,NA,NA,NA,NA
4520,SUMMERLEA,sipiwiyiniwak,West Edmonton,data,540,9192,520,8837,20,355,3.8,4
6213,SUMMERSIDE,Karhiio,Ellerslie,data,197,3590,NA,NA,NA,NA,NA,NA
4530,SUNWAPTA INDUSTRIAL,Nakota Isga,Jasper Place,data,53,1159,49,804,4,355,8.2,44.2
5490,SWEET GRASS,Ipiihkoohkanipiaohtsi,Whitemud,data,6,97,NA,NA,NA,NA,NA,NA
6443,TAMARACK,Sspomitapi,Mill Woods and Meadows,data,106,1433,NA,NA,NA,NA,NA,NA
6720,TAWA,Karhiio,Mill Woods and Meadows,data,96,5553,NA,NA,NA,NA,NA,NA
4540,TERRA LOSA,Nakota Isga,West Edmonton,data,116,1762,108,1687,8,75,7.4,4.4
6730,TERRACE HEIGHTS,Métis,Southeast,data,104,732,87,635,17,97,19.5,15.3
5640,TERWILLEGAR TOWNE,pihêsiwin,Whitemud,data,43,543,NA,NA,NA,NA,NA,NA
4461,THE HAMPTONS,sipiwiyiniwak,West Henday,data,56,535,NA,NA,NA,NA,NA,NA
6216,THE ORCHARDS AT ELLERSLIE,Karhiio,Ellerslie,data,22,358,NA,NA,NA,NA,NA,NA
4464,THE UPLANDS,sipiwiyiniwak,West Henday,no_data,NA,NA,NA,NA,NA,NA,NA,NA
4560,THORNCLIFF,sipiwiyiniwak,West Edmonton,data,23,233,18,270,5,-37,27.8,-13.7
6750,TIPASKAN,Karhiio,Mill Woods and Meadows,data,16,241,NA,NA,NA,NA,NA,NA
4471,TRUMPETER AREA,Nakota Isga,West Henday,data,5,94,NA,NA,NA,NA,NA,NA
6760,TWEDDLE PLACE,Karhiio,Mill Woods and Meadows,data,8,210,NA,NA,NA,NA,NA,NA
5511,TWIN BROOKS,Ipiihkoohkanipiaohtsi,Whitemud,data,4,100,NA,NA,NA,NA,NA,NA
5520,UNIVERSITY OF ALBERTA,papastew,Scona,data,132,23828,98,1926,34,21902,34.7,1137.2
5530,UNIVERSITY OF ALBERTA FARM,papastew,Scona,data,20,2820,18,2261,2,559,11.1,24.7
1240,VIRGINIA PARK,Métis,North Central,data,6,390,3,29,3,361,100,1244.8
6662,WALKER,Karhiio,Ellerslie,data,78,1131,NA,NA,NA,NA,NA,NA
4740,WEBBER GREENS,Nakota Isga,West Henday,data,21,518,NA,NA,NA,NA,NA,NA
4570,WEDGEWOOD HEIGHTS,sipiwiyiniwak,West Edmonton,no_data,NA,NA,NA,NA,NA,NA,NA,NA
6770,WEINLOS,Sspomitapi,Mill Woods and Meadows,data,13,151,NA,NA,NA,NA,NA,NA
6780,WEIR INDUSTRIAL,Métis,Southeast,data,271,5241,239,5132,32,109,13.4,2.1
3430,WELLINGTON,Anirniq,Northwest,data,17,141,NA,NA,NA,NA,NA,NA
4580,WEST JASPER PLACE,Nakota Isga,Jasper Place,data,146,1641,114,1623,32,18,28.1,1.1
4590,WEST MEADOWLARK PARK,sipiwiyiniwak,Jasper Place,data,19,3786,8,177,11,3609,137.5,2039
4600,WEST SHEFFIELD INDUSTRIAL,Nakota Isga,Jasper Place,data,287,2907,248,3282,39,-375,15.7,-11.4
5540,WESTBROOK ESTATES,papastew,Whitemud,data,21,435,NA,NA,NA,NA,NA,NA
3440,WESTMOUNT,O-day'min,Central,data,502,6852,426,5986,76,866,17.8,14.5
4610,WESTRIDGE,sipiwiyiniwak,West Edmonton,data,1,20,1,20,0,0,0,0
4620,WESTVIEW VILLAGE,Nakota Isga,West Henday,data,8,81,NA,NA,NA,NA,NA,NA
1250,WESTWOOD,O-day'min,North Central,data,122,854,88,515,34,339,38.6,65.8
4630,WHITE INDUSTRIAL,Nakota Isga,Jasper Place,data,115,3911,103,2556,12,1355,11.7,53
5550,WHITEMUD CREEK RAVINE NORTH,papastew,Scona,data,1,22,NA,NA,NA,NA,NA,NA
5560,WHITEMUD CREEK RAVINE SOUTH,papastew,Whitemud,no_data,NA,NA,NA,NA,NA,NA,NA,NA
5565,WHITEMUD CREEK RAVINE TWIN BROOKS,Ipiihkoohkanipiaohtsi,Whitemud,no_data,NA,NA,NA,NA,NA,NA,NA,NA
6790,WILD ROSE,Sspomitapi,Mill Woods and Meadows,data,18,224,NA,NA,NA,NA,NA,NA
4640,WILSON INDUSTRIAL,Nakota Isga,Jasper Place,data,422,5504,363,5595,59,-91,16.3,-1.6
5570,WINDERMERE,pihêsiwin,Southwest,data,139,1697,NA,NA,NA,NA,NA,NA
5580,WINDSOR PARK,papastew,Scona,data,10,138,7,66,3,72,42.9,109.1
4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga,West Henday,data,149,4261,NA,NA,NA,NA,NA,NA
4670,WINTERBURN INDUSTRIAL AREA WEST,Nakota Isga,West Henday,no_data,NA,NA,NA,NA,NA,NA,NA,NA
3450,WOODCROFT,Anirniq,Central,data,57,1372,42,860,15,512,35.7,59.5
1151,WÎHKWÊNTÔWIN,O-day'min,Central,data,896,14342,718,8969,178,5373,24.8,59.9
1270,YELLOWHEAD CORRIDOR EAST,Métis,North Central,data,166,2235,155,2178,11,57,7.1,2.6
1280,YELLOWHEAD CORRIDOR WEST,Anirniq,North Central,data,1,14,NA,NA,NA,NA,NA,NA
2720,YORK,Dene,Northeast,data,56,946,NA,NA,NA,NA,NA,NA
4660,YOUNGSTOWN INDUSTRIAL,Nakota Isga,Jasper Place,data,131,3123,122,2095,9,1028,7.4,49.1
