Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,87,3956066,5566,17,FALSE
1020,31,5063455,70000,-12,FALSE
1030,38,6040445,50231,0,FALSE
1070,7,1074000,30000,-1,TRUE
1080,36,2876086,5639.5,8,FALSE
1090,319,988365973,92000,1063,FALSE
1100,48,6153601,7853.5,28,FALSE
1111,18,31813745,152500,0,FALSE
1120,6,1320001,20000.5,0,TRUE
1130,15,1223014,3000,0,FALSE
1140,46,3828501,6774,2,FALSE
1150,5,55000,1000,-30,TRUE
1151,73,33154638,150000,2,FALSE
1160,49,13544336,7176,68,FALSE
1170,23,3349754,41232,3,FALSE
1180,52,45532079,33700,176,FALSE
1210,29,3836799,15000,6,FALSE
1220,13,1020822,5000,1,FALSE
1230,41,27168399,12000,1,FALSE
1240,16,9194066,16851,1,FALSE
1250,41,2387339,15000,12,FALSE
1270,7,124065575,60000,0,TRUE
2010,1,8886,8886,0,TRUE
2020,30,2257542,5000,27,FALSE
2030,9,88093,3000,0,TRUE
2040,30,3221197,9081.5,6,FALSE
2050,17,354895,10000,1,FALSE
2060,12,818274,6772,4,FALSE
2070,23,687109,7500,1,FALSE
2080,44,2366801,7062,1,FALSE
2090,11,111772,5000,2,FALSE
2100,54,4270191,8640,9,FALSE
2110,56,4174480,7500,3,FALSE
2120,4,39000,5000,0,TRUE
2130,12,323100,15800,1,FALSE
2145,12,8701900,39500,0,FALSE
2160,33,44416920,150000,0,FALSE
2230,24,312369,6812,7,FALSE
2241,14,2984050,30000,12,FALSE
2251,82,15110367,250000,72,FALSE
2260,23,486375,5000,4,FALSE
2270,3,13123,5000,0,TRUE
2280,46,7002104,7540,19,FALSE
2290,24,8506633,32000,1,FALSE
2311,14,1610450,112500,-1,FALSE
2320,6,92093,13166.5,0,TRUE
2330,49,2203372,6624,7,FALSE
2340,35,1640319,10000,2,FALSE
2350,52,12770459,326230,53,FALSE
2360,1,841000,841000,0,TRUE
2380,12,2126298,6349,-2,FALSE
2390,12,212300,6000,1,FALSE
2400,49,18383499,100000,4,FALSE
2410,20,387110,6072,-56,FALSE
2420,20,702481,8500,4,FALSE
2430,12,1449050,4950,11,FALSE
2440,61,6038426,5066,4,FALSE
2450,16,963641,5100,1,FALSE
2463,171,52621012,237800,316,FALSE
