Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,127,6282075,5313,29,FALSE
1020,35,65342077,7165,362,FALSE
1030,37,20733150,35000,61,FALSE
1070,10,514379,25000,1,FALSE
1080,26,1849561,5536,7,FALSE
1090,256,94036986,120000,1,FALSE
1100,26,1502451,9250,5,FALSE
1111,15,3894571,150000,0,FALSE
1120,2,60750,30375,-1,TRUE
1130,2,6000,3000,1,TRUE
1140,52,7320338,9865,19,FALSE
1150,2,21000,10500,0,TRUE
1151,41,10481089,100000,-3,FALSE
1160,48,4743736,5658,6,FALSE
1170,14,981508,5000,1,FALSE
1180,27,3342385,9000,10,FALSE
1200,1,190000,190000,0,TRUE
1210,33,3726986,10120,2,FALSE
1220,17,2403010,10000,-2,FALSE
1230,56,26338416,37500,8,FALSE
1240,5,355573,25000,2,TRUE
1250,21,1186917,10120,7,FALSE
1270,12,2004000,65500,0,FALSE
2010,3,2727485,61792,0,TRUE
2020,23,2442382,10000,7,FALSE
2030,6,41500,4250,1,TRUE
2040,20,1054125,6838,1,FALSE
2050,12,80314,4777,0,FALSE
2060,11,885339,7176,4,FALSE
2070,10,374280,2000,1,FALSE
2080,32,3575583,6536,19,FALSE
2090,6,43780,9140,0,TRUE
2100,26,1594695,5000,2,FALSE
2110,121,60340382,15000,292,FALSE
2120,7,22554048,6026,107,TRUE
2130,6,221945,3806.5,0,TRUE
2145,19,4547640,120000,14,FALSE
2160,27,74854181,179000,0,FALSE
2230,9,57746,6624,0,TRUE
2241,25,4535903,80000,0,FALSE
2260,7,641999,4999,1,TRUE
2270,7,218260,5000,-1,TRUE
2280,12,2685420,27500,8,FALSE
2290,20,3414231,9125,3,FALSE
2320,8,191176,8500,1,TRUE
2330,35,1752830,6000,3,FALSE
2340,51,3924740,5500,4,FALSE
2350,5,104849,5000,0,TRUE
2360,1,15000,15000,0,TRUE
2380,8,9449443,35000,0,TRUE
2390,6,32476,5000,0,TRUE
2400,15,2619300,73000,1,FALSE
2410,10,145491,9750,3,FALSE
2420,30,2382616,6412.5,2,FALSE
2430,17,1648126,10000,11,FALSE
2440,155,34709950,267520,155,FALSE
2450,7,38500,5000,0,TRUE
2500,20,117991,2500,1,FALSE
2511,12,94100,4350,0,FALSE
2522,295,103970501,310000,413,FALSE
2530,10,308966,3377,0,FALSE
2541,25,8679749,5589,0,FALSE
2550,44,6984701,5256,3,FALSE
2560,28,2070999,6118,12,FALSE
2580,8,4271000,9000,0,TRUE
2590,3,4584,2000,0,TRUE
2600,8,368150,15250,3,TRUE
2660,8,48203,4750,0,TRUE
2670,1,6950000,6950000,0,TRUE
2690,2,0,0,0,TRUE
2692,6,1418440,183785,3,TRUE
2700,40,37336950,320625,227,FALSE
2710,5,50380,10000,0,TRUE
2720,17,4316964,10000,2,FALSE
3010,14,2055874,6176,35,FALSE
3020,14,12812960,150500,50,FALSE
3030,8,106476,6088,2,TRUE
3040,10,433207,5000,0,FALSE
3050,4,2574000,285000,0,TRUE
3060,8,376613,8000,1,TRUE
3070,48,1791923,6962,4,FALSE
3080,23,129447,3500,0,FALSE
3090,7,106004,10000,1,TRUE
3111,184,34822181,242820,112,FALSE
3120,57,18276910,419330,39,FALSE
3140,57,6102073,8000,0,FALSE
3150,56,708323,5060,1,FALSE
3160,14,3013850,48500,1,FALSE
3170,16,537839,5750,0,FALSE
3180,17,382137,5000,1,FALSE
3190,21,3804678,27928,20,FALSE
