Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,114,10141308,5000,40,FALSE
1020,28,28870557,29500,-26,FALSE
1030,41,9861864,69580,3,FALSE
1070,10,1258150,62500,1,FALSE
1080,18,1157696,4999.5,3,FALSE
1090,289,190366215,118000,30,FALSE
1100,51,4220021,6877,8,FALSE
1111,11,15595978,195000,0,FALSE
1120,5,130000,15000,0,TRUE
1130,13,825880,10000,2,FALSE
1140,81,8183072,5566,12,FALSE
1150,5,2057625,5000,-26,TRUE
1151,67,66431626,70237,242,FALSE
1160,51,2423620,5000,6,FALSE
1170,23,1751140,45000,3,FALSE
1180,54,9633168,44500,19,FALSE
1200,2,30000,15000,0,TRUE
1210,23,1874134,5026,1,FALSE
1220,17,8393444,24800,0,FALSE
1230,49,72689943,100000,16,FALSE
1240,14,10927231,11700.5,-1,FALSE
1250,33,2751971,8280,13,FALSE
1270,6,898000,30000,-1,TRUE
2010,5,715700,35000,0,TRUE
2020,25,1988248,19000,10,FALSE
2030,6,91500,10000,2,TRUE
2040,21,1068341,5000,3,FALSE
2050,15,156667,3000,0,FALSE
2060,14,301760,5289,1,FALSE
2070,13,288626,12000,2,FALSE
2080,35,10406367,5000,110,FALSE
2090,7,55166,7192,-1,TRUE
2100,27,1246680,6061,4,FALSE
2110,47,12890087,5000,3,FALSE
2120,8,36360,4800,0,TRUE
2130,9,197900,8400,1,TRUE
2145,13,10246951,20000,0,FALSE
2160,15,36511668,255768,0,FALSE
2230,16,232159,5290,3,FALSE
2241,19,10217475,125000,13,FALSE
2251,92,19701201,257545,94,FALSE
2260,19,345492,10000,3,FALSE
2270,1,4347,4347,0,TRUE
2280,41,8763049,25000,24,FALSE
2290,16,1647620,11000,3,FALSE
2311,8,8605000,10000,-2,TRUE
2320,5,134124,6624,0,TRUE
2330,54,3658048,5819,3,FALSE
2340,26,282718,5543,2,FALSE
2350,29,5735470,285000,26,FALSE
2360,5,4750000,925000,0,TRUE
2380,10,1071630,15000,-1,FALSE
