Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,75,2791360,20000,16,FALSE
1020,27,42861650,20000,245,FALSE
1030,28,4339915,56000,1,FALSE
1070,4,380525,190262.5,1,TRUE
1080,6,52000,23000,0,TRUE
1090,223,224564786,106150,345,FALSE
1100,29,622598,20000,2,FALSE
1111,26,3686645,52776.5,23,FALSE
1120,1,109700,109700,0,TRUE
1130,4,45000,45000,0,TRUE
1140,51,6445326,17500,19,FALSE
1150,3,43200,21600,0,TRUE
1151,81,65444362,121600,269,FALSE
1160,39,1898080,40000,3,FALSE
1170,15,2476360,82500,2,FALSE
1180,61,30984480,40000,101,FALSE
1200,4,18020490,213428.5,0,TRUE
1210,22,5899216,9750,3,FALSE
1220,10,1092295,225000,2,FALSE
1230,55,151741178,42750,17,FALSE
1240,7,418020,38040,5,TRUE
1250,19,4089915,35000,22,FALSE
1270,5,2568000,25000,0,TRUE
2010,8,5870410,32500,0,TRUE
2020,23,16917461,15000,67,FALSE
2030,6,208626,28863,0,TRUE
2040,18,1672600,191040,9,FALSE
2050,14,4856700,541260,31,FALSE
2060,11,65000,25000,0,FALSE
2070,14,94719,8000,0,FALSE
2080,28,4005801,25000,1,FALSE
2090,11,291800,30000,1,FALSE
2100,29,707600,25000,2,FALSE
2110,37,415874,10000,0,FALSE
2120,5,297001,12000,0,TRUE
2130,8,797000,9000,0,TRUE
2145,6,1050000,65000,0,TRUE
2160,13,18035346,950000,0,FALSE
2230,16,402413,17500,0,FALSE
2241,17,906540,33500,2,FALSE
2251,45,8784830,245640,44,FALSE
2260,9,261733,27500,0,TRUE
2270,2,10000,10000,0,TRUE
2280,40,6000461,213360,24,FALSE
2290,24,1278999,37500,0,FALSE
2311,5,4414107,559276,0,TRUE
2320,9,523500,27800,0,TRUE
2330,57,22291813,33500,13,FALSE
2340,26,1230690,30000,6,FALSE
2350,7,45000,4500,0,TRUE
2360,1,0,0,0,TRUE
2380,8,198081,15197.5,0,TRUE
2390,8,103300,24000,0,TRUE
2400,11,186550,12000,0,FALSE
2410,10,231450,10000,0,FALSE
2420,22,1492610,25000,4,FALSE
2430,22,1819300,38000,7,FALSE
2440,48,3985379,32000,15,FALSE
2450,6,100001,50000.5,0,TRUE
2462,2,4000000,2000000,0,TRUE
2463,126,21208067,207360,97,FALSE
2500,21,238400,13500,0,FALSE
2511,11,88500,10000,0,FALSE
2522,517,71945165,196592.5,346,FALSE
2530,21,627244,21700,3,FALSE
2541,7,40000,6500,0,TRUE
2550,19,22762520,22500,2,FALSE
2560,12,189470,10000,0,FALSE
2580,11,85500,10500,0,FALSE
2590,2,41000,20500,0,TRUE
2600,10,64200,10000,0,FALSE
2611,126,20907110,223500,103,FALSE
2650,1,4978518,4978518,0,TRUE
2660,8,166500,19000,0,TRUE
2670,2,350000,350000,0,TRUE
2671,1,100000,100000,0,TRUE
2692,8,1217230,28000,1,TRUE
2700,69,16410550,228407.5,46,FALSE
2710,4,56000,15000,0,TRUE
2720,11,89501,10000,0,FALSE
3010,15,2259034,185800,13,FALSE
3020,8,3139500,124750,1,TRUE
3030,12,114499,4749.5,0,FALSE
3040,8,312900,4900,0,TRUE
3050,1,98000,98000,0,TRUE
3060,9,85271,24000,0,TRUE
3070,36,14402415,57497.5,11,FALSE
3080,15,107000,17500,0,FALSE
3090,10,91436,4000,0,FALSE
3111,149,17998824,175657.5,75,FALSE
3120,14,727100,7250,1,FALSE
3140,45,3304375,62500,7,FALSE
3150,17,527500,42500,0,FALSE
3160,9,711000,25000,0,TRUE
3170,24,375660,25000,1,FALSE
3180,13,139726,10000,0,FALSE
3190,7,13070500,14250,0,TRUE
3200,78,7250598,110000,13,FALSE
3210,66,3745469,42619,20,FALSE
3220,4,3139000,69500,0,TRUE
3230,12,8836399,243010,0,FALSE
3240,66,24864051,24950,118,FALSE
3250,27,4011150,37250,4,FALSE
3260,24,4204855,75000,6,FALSE
3270,46,2648546,36000,4,FALSE
3280,14,1140774,32500,1,FALSE
3290,4,1310000,389480,0,TRUE
3300,14,816100,60000,2,FALSE
3310,56,3646241,80000,19,FALSE
3320,16,150150,12000,0,FALSE
3330,70,3821533,27500,8,FALSE
3340,12,3226105,160000,16,FALSE
3350,29,2029940,24900,17,FALSE
3360,3,270000,80000,0,TRUE
3370,90,7621098,29000,30,FALSE
3382,1,951000,951000,0,TRUE
3390,10,852975,25000,1,FALSE
3410,17,2262721,50000,5,FALSE
3430,22,441760,21500,1,FALSE
3440,120,62671872,50000,305,FALSE
3450,33,16551463,72000,2,FALSE
3460,10,579500,40000,0,FALSE
3470,31,302940,10000,0,FALSE
3480,6,60500,30250,0,TRUE
4010,3,175000,50000,0,TRUE
4020,5,91700,18700,0,TRUE
4030,6,5315032,370916,0,TRUE
4040,8,323500,40000,0,TRUE
4050,11,4058090,25000,0,FALSE
4060,41,2685404,10000,12,FALSE
4070,1,70000,70000,0,TRUE
4080,7,4102677,12000,0,TRUE
4090,33,4235805,30000,16,FALSE
4100,1,15000,15000,0,TRUE
4110,5,181000,75000,0,TRUE
4120,8,1985017,236400,3,TRUE
4130,5,1524054,118000,0,TRUE
4140,8,108900,20000,0,TRUE
4150,1,1500,1500,0,TRUE
4160,5,416743,3500,0,TRUE
4170,7,152000,20000,0,TRUE
4180,55,20835231,23000,24,FALSE
4190,3,1161222,55000,0,TRUE
4200,28,1501650,55000,8,FALSE
4210,5,1662600,200000,0,TRUE
4220,15,28900,5000,0,FALSE
4230,13,490070,36500,4,FALSE
4240,11,152575,19437.5,0,FALSE
4261,6,115000,45000,0,TRUE
4270,10,59000,9750,0,FALSE
4280,20,2015820,45000,1,FALSE
4290,12,702734,48160,5,FALSE
4300,12,1765050,51500,0,FALSE
4310,20,1530500,25000,0,FALSE
4320,32,18232342,77866,0,FALSE
4330,9,982500,68000,0,TRUE
4340,1,55000,55000,0,TRUE
4350,3,315000,65000,0,TRUE
4360,18,200263,17500,0,FALSE
4380,14,28000,4000,0,FALSE
4390,11,1472005,22500,3,FALSE
4400,6,1410000,105000,0,TRUE
4410,12,4387185,112000,0,FALSE
4420,1,60000,60000,0,TRUE
4430,17,1247490,50000,4,FALSE
4461,82,1317826,15700,0,FALSE
4462,366,113666460,231240,596,FALSE
4463,3,255000,255000,0,TRUE
4464,130,25474000,208680,128,FALSE
4466,25,2313580,80000,4,FALSE
4467,2,420000,210000,0,TRUE
4468,77,27387880,236940,137,FALSE
4469,3,245000,122500,0,TRUE
4471,105,13601705,202200,59,FALSE
4473,46,4672300,40000,19,FALSE
4474,69,7754395,34000,31,FALSE
4475,12,4634450,237198.5,1,FALSE
4477,25,6058175,264360,24,FALSE
4486,95,12985200,215820,63,FALSE
4487,431,102882286,204470,502,FALSE
4490,3,1575000,120000,0,TRUE
4500,27,3198740,65000,9,FALSE
4510,6,662961,48555.5,0,TRUE
4520,60,28822317,75000,1,FALSE
4530,3,438000,30000,0,TRUE
4540,9,5927000,95000,0,TRUE
4551,40,5120105,23932.5,9,FALSE
4560,4,27500,13750,0,TRUE
4570,2,0,NA,0,TRUE
4580,53,4303072,40692.5,30,FALSE
4590,13,20107218,375000,0,FALSE
4600,8,428850,32500,0,TRUE
4610,12,244700,32000,0,FALSE
4620,5,17080,5000,0,TRUE
4630,4,378059,77000,0,TRUE
4640,6,587900,73000,0,TRUE
4650,14,2766848,50000,0,FALSE
4660,3,317500,150000,0,TRUE
4670,2,41000,20500,0,TRUE
