Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,93,4907367,25000,31,FALSE
1020,31,19801150,200000,0,FALSE
1030,49,3834188,50000,2,FALSE
1070,9,724200,57500,1,TRUE
1080,38,1661625,20000,12,FALSE
1090,266,251938142,136805,252,FALSE
1100,27,476724,19000,1,FALSE
1111,12,8148029,249900,4,FALSE
1120,2,160000,80000,0,TRUE
1130,9,1500,1500,0,TRUE
1140,59,5653210,15000,9,FALSE
1150,13,3270210,187210,-22,FALSE
1151,93,25060471,85000,0,FALSE
1160,50,2182706,30000,14,FALSE
1170,21,1006736,63800,1,FALSE
1180,49,18788481,35000,61,FALSE
1190,1,350000,350000,1,TRUE
1200,2,1478610,739305,0,TRUE
1210,23,3035980,17500,5,FALSE
1220,6,335500,30000,0,TRUE
1230,51,41787422,150000,55,FALSE
1240,11,495315,17500,1,FALSE
1250,38,2252605,27500,17,FALSE
1270,8,2256896,126000,0,TRUE
2010,6,1105000,55000,0,TRUE
2020,22,759486,25000,3,FALSE
2030,6,49426,3000,0,TRUE
2040,23,743170,17500,3,FALSE
2050,7,1037610,12100,7,TRUE
2060,12,892085,203760,4,FALSE
2070,15,395664,108664,0,FALSE
2080,30,1065699,30000,3,FALSE
2090,6,0,NA,0,TRUE
2100,43,1712205,31000,9,FALSE
2110,41,768906,10000,0,FALSE
2120,7,59000,15000,0,TRUE
2130,9,73685,5000,0,TRUE
2145,11,1790500,80000,0,FALSE
2160,16,18034164,246227,0,FALSE
2230,23,615392,15000,0,FALSE
2241,9,250243,30000,0,TRUE
2251,39,7106628,191130,41,FALSE
2260,14,222500,22250,1,FALSE
2270,2,5000,5000,1,TRUE
2280,45,6685272,214835,32,FALSE
2290,20,2458250,42250,2,FALSE
2311,2,1465345,732672.5,0,TRUE
2320,12,359500,5000,0,FALSE
2330,44,4608994,25000,1,FALSE
2340,21,471999,10000,0,FALSE
2350,12,144500,19250,0,FALSE
2360,4,515000,145000,0,TRUE
2380,12,2738000,69500,0,FALSE
2390,5,103000,51500,0,TRUE
2400,13,1538000,45000,0,FALSE
2410,20,3135103,10000,1,FALSE
2420,17,385000,31500,0,FALSE
2430,28,7154930,15000,43,FALSE
2440,36,627445,12000,1,FALSE
2450,10,154969,5000,0,FALSE
2463,130,20560239,206425,93,FALSE
2500,18,1471300,180000,8,FALSE
2511,18,672925,18000,3,FALSE
2522,356,75898691,188370,386,FALSE
2530,18,362800,15000,0,FALSE
2541,9,46000,2500,0,TRUE
2550,18,272900,16000,2,FALSE
2560,18,612340,5000,1,FALSE
2580,16,1344234,50000,0,FALSE
2590,4,39000,19500,0,TRUE
2600,14,74865,9500,0,FALSE
2611,143,22500150,203550,113,FALSE
2660,8,48708,15000,0,TRUE
2671,3,0,NA,0,TRUE
2681,2,5825000,2912500,-1,TRUE
2692,3,619380,309690,1,TRUE
2700,68,10501124,218385,46,FALSE
2710,4,1975000,987500,0,TRUE
2720,18,216987,9900,0,FALSE
3010,17,814391,25000,3,FALSE
3020,11,20697902,90000,85,FALSE
3030,12,374802,18821,0,FALSE
3040,11,648000,24000,0,FALSE
3050,1,827675,827675,0,TRUE
3060,19,136012,10000,0,FALSE
3070,56,3551932,11000,25,FALSE
3080,12,100924,17962,0,FALSE
3090,9,73000,10000,0,TRUE
