Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,41,4395000,100000,43,FALSE
1020,7,19345775,130000,48,TRUE
1030,8,8335513,284944,8,TRUE
1070,4,1394125,459125,1,TRUE
1080,7,628500,55000,8,TRUE
1090,85,46555785,180000,33,FALSE
1100,28,4459664,50000,38,FALSE
1111,40,4655327,49000,37,FALSE
1120,2,7500001,3750000.5,0,TRUE
1130,1,0,NA,0,TRUE
1140,17,1628000,37000,-1,FALSE
1151,35,6590904,50000,-37,FALSE
1160,15,197233,41108,1,FALSE
1170,16,2711950,102500,11,FALSE
1180,26,8672095,150000,58,FALSE
1210,11,752250,63750,8,FALSE
1230,24,5578473,168776,51,FALSE
1240,3,11200,5600,0,TRUE
1250,22,3131975,55375,33,FALSE
1270,3,258000,15000,0,TRUE
2010,1,221000,221000,0,TRUE
2020,21,19673667,30000,107,FALSE
2030,4,76000,17500,0,TRUE
2040,13,930750,50000,7,FALSE
2050,4,10000,10000,0,TRUE
2060,8,799125,95000,6,TRUE
2070,5,76000,38000,0,TRUE
2080,22,20777528,21406,127,FALSE
2090,5,113875,56937.5,1,TRUE
2100,11,41377723,20000,1,FALSE
2110,9,156100,17500,0,TRUE
2120,2,992500,496250,2,TRUE
2130,1,0,NA,0,TRUE
2145,5,216000,15000,0,TRUE
2160,5,2583260,35000,0,TRUE
2230,20,1952500,47500,15,FALSE
2241,9,604250,60000,1,TRUE
2251,7,31998405,1949938,0,TRUE
2260,7,824500,49250,8,TRUE
2270,3,0,NA,0,TRUE
2280,19,3186375,72500,15,FALSE
2290,14,5649000,100000,-1,FALSE
2311,22,15585670,298187.5,22,FALSE
2320,1,9000,9000,0,TRUE
2330,19,2370679,186429,13,FALSE
2340,4,15000,15000,0,TRUE
2350,11,1922375,158750,2,FALSE
2380,7,398000,10000,0,TRUE
2390,4,148753,25900,0,TRUE
2400,8,350000,175000,0,TRUE
2410,16,937100,50000,0,FALSE
2420,19,2465450,100000,25,FALSE
2430,2,17000,8500,0,TRUE
2440,52,27870249,247125,140,FALSE
2450,4,35000,17500,0,TRUE
2462,76,10771921,201250,50,FALSE
2463,12,3722250,57000,28,FALSE
2500,6,5000,5000,0,TRUE
2511,9,23000,11500,0,TRUE
2522,63,3988150,36500,13,FALSE
2530,5,120000,50000,0,TRUE
2541,7,20000,20000,0,TRUE
2550,25,1864250,41000,12,FALSE
2560,13,1508500,219000,12,FALSE
2580,10,356000,40000,0,FALSE
2600,7,72500,14250,0,TRUE
2611,32,1517006,35500,4,FALSE
2650,1,1,1,0,TRUE
2660,4,91500,40000,0,TRUE
2671,81,13098125,208875,67,FALSE
2692,39,8914500,249250,37,FALSE
2700,19,4709750,60000,33,FALSE
2720,5,230000,40000,0,TRUE
3010,15,2617250,75000,6,FALSE
3020,2,170000,85000,0,TRUE
3030,7,123500,24750,0,TRUE
3040,3,6204,3102,0,TRUE
3060,5,35000,17500,0,TRUE
3070,30,6122350,85000,50,FALSE
3080,9,161880,15000,-1,TRUE
3111,72,11518679,80000,48,FALSE
3120,8,79500,10000,0,TRUE
3140,25,3068625,326062.5,16,FALSE
3150,9,35000,17500,0,TRUE
3160,2,45000,22500,0,TRUE
3170,24,2517750,347125,24,FALSE
3180,6,80000,10000,0,TRUE
3190,3,0,NA,0,TRUE
3200,46,3881941,30136,20,FALSE
3210,11,1103425,55000,4,FALSE
3230,9,2184000,58000,0,TRUE
3240,31,5597027,138000,64,FALSE
3250,7,85375,42687.5,1,TRUE
3260,14,80400,5950,1,FALSE
3270,22,2631795,238125,13,FALSE
3280,6,1000,1000,0,TRUE
3300,5,3598750,628750,7,TRUE
3310,20,11170585,338237.5,66,FALSE
3320,8,45000,10000,0,TRUE
3330,38,5826021,313500,34,FALSE
3340,4,641999,70000,0,TRUE
3350,27,4650625,594250,54,FALSE
3360,1,340000,340000,0,TRUE
3370,8,292300,37500,0,TRUE
3380,1,1,1,0,TRUE
3382,1,100965,100965,0,TRUE
3390,7,178500,30000,-1,TRUE
3410,17,184500,47500,1,FALSE
3430,13,1159500,45000,11,FALSE
3440,33,9219466,135000,11,FALSE
3450,6,724300,800,8,TRUE
3460,5,8017775,65000,0,TRUE
3470,12,85000,20000,0,FALSE
3480,7,1018000,15000,0,TRUE
3490,57,24370891,294250,84,FALSE
4010,1,582000,582000,0,TRUE
4014,5,133281234,7229964,0,TRUE
4015,2,30000,15000,0,TRUE
4020,9,27775,27775,0,TRUE
4030,4,261500,70000,0,TRUE
4040,12,239902,38000,0,FALSE
4050,3,425000,75000,0,TRUE
4060,28,3521613,134000,34,FALSE
4070,3,107141,32500,0,TRUE
4080,5,774000,80000,0,TRUE
4090,21,5383243,80062.5,34,FALSE
4100,1,10000,10000,0,TRUE
4110,6,10000,10000,0,TRUE
4120,1,1556125,1556125,1,TRUE
