Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,88,3815192,5130,8,FALSE
1020,13,1614500,30000,-12,FALSE
1030,31,1751430,20000,-7,FALSE
1070,12,141801,1100,-5,FALSE
1080,24,1894219,6072,8,FALSE
1090,223,350328162,75350,337,FALSE
1100,21,3111732,6624,18,FALSE
1111,9,2611000,125000,0,TRUE
1120,4,2886000,423000,0,TRUE
1130,9,614510,5060,4,TRUE
1140,48,98749687,10000,5,FALSE
1150,11,820000,20000,-39,FALSE
1151,30,6251936,49500,1,FALSE
1160,35,3842189,5000,30,FALSE
1170,20,7752094,6624,16,FALSE
1180,38,2169663,11850,-17,FALSE
1200,5,11484305,780000,0,TRUE
1210,22,2309667,8950,1,FALSE
1220,15,5069342,8400,0,FALSE
1230,52,5508753,65000,7,FALSE
1240,11,631147,7084,0,FALSE
1250,21,2241371,15000,7,FALSE
2010,1,100000,100000,0,TRUE
2020,20,1354945,10000,8,FALSE
2030,7,111055,7774,1,TRUE
2040,20,501830,6072,0,FALSE
2050,12,100209,5340.5,0,FALSE
2060,15,5335826,6072,1,FALSE
2070,17,217612,5000,0,FALSE
2080,30,4590410,5819,0,FALSE
2090,18,3591060,254000,28,FALSE
2100,16,1292710,7864,4,FALSE
2110,98,14118334,10000,40,FALSE
2120,3,780811,2500,7,TRUE
2130,8,848584,10500,3,TRUE
2145,24,12028140,225020,9,FALSE
2160,15,8643220,50000,0,FALSE
2230,7,111591,2500,1,TRUE
2241,63,43438806,196000,215,FALSE
2260,9,328750,8280,0,TRUE
2270,10,41300,5000,0,FALSE
2280,12,2304870,83500,4,FALSE
2290,16,3145730,44000,0,FALSE
2311,1,710000,710000,0,TRUE
2320,2,31610,15805,0,TRUE
2330,51,1558296,5573,-6,FALSE
2340,93,13336263,12000,53,FALSE
2350,6,36260,3880,0,TRUE
2360,1,250000,250000,0,TRUE
2380,7,393000,10000,0,TRUE
2390,11,285116,6072,0,FALSE
2400,14,5412350,35000,0,FALSE
2410,7,67491,6072,1,TRUE
2420,13,542571,6256,1,FALSE
2430,28,6562090,269365,30,FALSE
2440,61,3418896,5164,9,FALSE
2450,17,230150,5400,-3,FALSE
2500,23,1751694,5000,4,FALSE
2511,23,231953,9000,0,FALSE
2522,144,41261940,304760,119,FALSE
2530,8,139524,8542,1,TRUE
2541,26,4012580,5030,13,FALSE
2550,27,1315490,6578,3,FALSE
2560,17,515435,5060,6,FALSE
2580,12,1304176,79500,0,FALSE
2590,2,11624,5812,0,TRUE
2600,14,1492471,6786,2,FALSE
2650,1,4999,4999,0,TRUE
2660,8,283307,6425,0,TRUE
2670,2,59124,29562,0,TRUE
2681,1,0,0,0,TRUE
2692,8,1445079,9000,3,TRUE
2700,104,47522979,519365,151,FALSE
2710,5,86907,8970,0,TRUE
2720,8,78441,8930.5,1,TRUE
3010,22,684680,5536,2,FALSE
3020,7,586595,34000,0,TRUE
3030,27,7875856,20000,43,FALSE
3040,4,24724,4362,0,TRUE
3050,5,1692718,25000,0,TRUE
3060,11,95874,5000,0,FALSE
3070,32,3196778,9242,15,FALSE
3080,18,456720,4175,1,FALSE
3090,5,57500,3500,0,TRUE
3111,147,27820488,99560,68,FALSE
3120,81,31071560,447070,67,FALSE
3140,49,3903984,7774,-1,FALSE
3150,47,702121,5000,1,FALSE
3160,5,3545000,290000,0,TRUE
3170,10,210355,8186,1,FALSE
3180,9,302799,7000,0,TRUE
3190,16,1355240,9250,7,FALSE
3200,85,5941643,6624,3,FALSE
3210,45,3630415,7000,4,FALSE
3220,2,1795000,897500,0,TRUE
3230,4,512500,76250,0,TRUE
3240,47,5786393,4999,5,FALSE
3250,12,130166,4000,0,FALSE
3260,14,138224,6812,-1,FALSE
3270,30,2776718,9508,0,FALSE
3280,11,217124,2000,0,FALSE
3290,4,510590,110000,0,TRUE
3300,15,164717,7176,0,FALSE
3310,35,1159090,6624,3,FALSE
3320,12,58250,4750,0,FALSE
3330,54,4341638,10000,1,FALSE
3340,9,2887079,77000,0,TRUE
