Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,115,7017680,5060,17,FALSE
1020,30,30061499,10000,149,FALSE
1030,35,3806684,12000,-21,FALSE
1070,14,1182630,9900,-13,FALSE
1080,31,1348957,6072,1,FALSE
1090,209,258260990,110000,1,FALSE
1100,42,3886590,8000,9,FALSE
1111,13,1996010,100000,0,FALSE
1120,4,40274000,1119000,0,TRUE
1130,9,785355,5000,2,TRUE
1140,53,11453904,10000,40,FALSE
1150,3,167049,69604,-7,TRUE
1151,40,5139724,31000,2,FALSE
1160,64,6985344,5370.5,86,FALSE
1170,11,685380,10000,0,FALSE
1180,25,6864617,24000,21,FALSE
1190,1,20000,20000,-1,TRUE
1210,46,3427429,6624,4,FALSE
1220,8,734775,17357.5,0,TRUE
1230,80,6800778,5000,-9,FALSE
1240,8,558920,6000,-1,TRUE
1250,11,21504482,32000,117,FALSE
1270,9,844350,65000,0,TRUE
2010,1,51000,51000,0,TRUE
2020,15,639506,3000,1,FALSE
2030,6,36300,3250,1,TRUE
2040,26,2109551,6072,9,FALSE
2050,12,331676,5030,0,FALSE
2060,12,7296476,5543,0,FALSE
2070,12,210049,7588,0,FALSE
2080,27,10443885,6072,58,FALSE
2090,38,3261976,15000,20,FALSE
2100,16,272196,5000,2,FALSE
2110,94,13071828,10000,37,FALSE
2120,18,1659401,5869,0,FALSE
2130,7,1384680,271700,4,TRUE
2145,23,3809433,250040,13,FALSE
2160,13,15933248,50000,0,FALSE
2230,10,200932,3650,2,FALSE
2241,36,10515023,65000,3,FALSE
2260,11,56974,3000,0,FALSE
2270,4,32300,3650,0,TRUE
2280,19,2794867,4500,6,FALSE
2290,6,595060,5030,0,TRUE
2320,2,5500,2750,0,TRUE
2330,28,4331657,21500,15,FALSE
2340,78,13888974,97500,45,FALSE
2350,10,726953,10250,0,FALSE
2360,1,0,0,0,TRUE
2380,9,2882100,214000,0,TRUE
2390,5,70639,9600,0,TRUE
2400,7,1214500,35000,0,TRUE
2410,2,3500,1750,0,TRUE
2420,8,141132,11000,3,TRUE
2430,29,6253845,250000,27,FALSE
2440,80,14004216,22400,59,FALSE
2450,10,649480,6118,2,FALSE
2500,15,200377,10000,1,FALSE
2511,17,878506,5000,1,FALSE
2522,196,53811673,300105,162,FALSE
2530,9,81343,2300,1,TRUE
2541,26,2738223,6283,13,FALSE
2550,37,5950608,25000,11,FALSE
2560,22,771739,5000,3,FALSE
2580,7,541482,32282,0,TRUE
2590,6,43617,5290,1,TRUE
2600,8,123515,13007.5,1,TRUE
2640,2,765000,382500,0,TRUE
2660,3,12622,2600,0,TRUE
2670,5,232532,28321,0,TRUE
2671,2,33372,16686,0,TRUE
2681,1,1200000,1200000,0,TRUE
2690,4,1644415,463854,0,TRUE
2692,14,3763236,11466,6,FALSE
2700,66,35144261,363470,128,FALSE
2710,6,421106,6500,0,TRUE
2720,7,64040,4140,1,TRUE
3010,17,433125,5000,3,FALSE
3020,15,6581055,80000,2,FALSE
