Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,91,4308140,5313,15,FALSE
1020,20,103407932,33480,417,FALSE
1030,29,6161743,22000,0,FALSE
1070,9,810087,10000,1,TRUE
1080,30,1546980,5000,5,FALSE
1090,252,405737241,94980,183,FALSE
1100,78,5030289,5000,9,FALSE
1111,5,671000,118000,0,TRUE
1120,5,285646,25000,0,TRUE
1130,16,489548,7728,1,FALSE
1140,65,3687275,12000,16,FALSE
1150,17,4000500,5000,-8,FALSE
1151,46,19269384,77385,19,FALSE
1160,61,11471734,7200,47,FALSE
1170,18,2076917,45000,1,FALSE
1180,39,10097160,9875,0,FALSE
1200,5,3392422,10000,0,TRUE
1210,48,5812757,8025,9,FALSE
1220,18,8845712,7500,-1,FALSE
1230,66,182371904,15000,11,FALSE
1240,10,655004,6570,1,FALSE
1250,33,3059733,7000,6,FALSE
1270,13,1170396,30000,0,FALSE
2010,8,1937600,107800,0,TRUE
2020,31,3613808,7096,15,FALSE
2030,6,74100,4000,1,TRUE
2040,33,1468456,5796,1,FALSE
2050,10,175890,15000,0,FALSE
2060,22,2291049,9750,2,FALSE
2070,30,1779630,5000,1,FALSE
2080,21,5406703,8625,3,FALSE
2090,4,21245,4056.5,0,TRUE
2100,32,2958929,5191,3,FALSE
2110,82,32219479,6036,167,FALSE
2120,9,54754,2000,0,TRUE
2130,21,7755852,333965,49,FALSE
2145,23,31856342,575000,151,FALSE
2160,33,27365109,150000,0,FALSE
2230,22,735099,5410,2,FALSE
2241,28,10775593,75000,135,FALSE
2251,25,5907531,280250,19,FALSE
2260,16,756869,9238,1,FALSE
2270,9,78136,5000,0,TRUE
2280,70,19551855,317930,62,FALSE
2290,16,2415275,5536,1,FALSE
2311,3,332000,152000,0,TRUE
2320,3,1670980,10000,0,TRUE
2330,53,3302118,10000,9,FALSE
2340,38,3014257,5000,8,FALSE
2350,13,627873,6707,-1,FALSE
2360,3,1325000,5000,0,TRUE
2380,10,31130459,654000,0,FALSE
2390,12,3069458,9750,14,FALSE
2400,21,25634585,46000,1,FALSE
2410,28,397545,5500,8,FALSE
2420,20,1106288,5819,8,FALSE
2430,23,4942906,25000,33,FALSE
2440,106,19022429,12010,49,FALSE
2450,10,90144,5060,2,FALSE
2463,208,54262207,289465,161,FALSE
2500,28,1545971,7339,1,FALSE
2511,11,101810,3000,1,FALSE
2522,373,123067746,274930,615,FALSE
2530,19,485223,8000,2,FALSE
2541,20,784826,6033,1,FALSE
2550,65,6987138,5675,12,FALSE
2560,29,1540632,5520,5,FALSE
2580,8,509600,8500,2,TRUE
2590,4,55000,12500,0,TRUE
2600,21,3466832,10000,1,FALSE
2611,140,33152547,294310,119,FALSE
2660,10,229274,8887,-1,FALSE
2670,2,113862,56931,0,TRUE
2681,3,316472,18872,1,TRUE
2690,1,8000,8000,0,TRUE
2692,11,3487420,456950,6,FALSE
2700,148,40197406,350000,131,FALSE
2710,4,149747,4838,0,TRUE
2720,16,399749,17000,3,FALSE
3010,20,1286378,7765,4,FALSE
3020,8,4604630,430350,4,TRUE
3030,11,289696,6072,0,FALSE
3040,14,395426,8500,0,FALSE
3050,1,1500000,1500000,0,TRUE
3060,14,3312789,65831,25,FALSE
3070,41,1931940,7000,5,FALSE
3080,32,229894,5000,0,FALSE
3090,13,110061,5000,3,FALSE
3111,228,47605772,109815,145,FALSE
3120,50,12689532,32500,25,FALSE
3140,67,10540275,8000,-2,FALSE
3150,48,5036969,9600,1,FALSE
3160,10,3707345,130000,0,FALSE
3170,33,472911,5566,3,FALSE
3180,17,411200,5000,0,FALSE
3190,24,2615540,5000,6,FALSE
3200,104,9896261,8947.5,4,FALSE
3210,63,5192794,6314,6,FALSE
3220,5,245000,50000,-1,TRUE
3230,16,2063887,75320,0,FALSE
3240,124,12191775,6624,30,FALSE
3250,30,3281067,14500,14,FALSE
3260,19,140085,4267,2,FALSE
3270,50,3128608,7153,1,FALSE
3280,3,109400,4600,0,TRUE
3290,7,1680000,30000,0,TRUE
3300,13,157308,5060,0,FALSE
3310,33,1967308,5000,0,FALSE
3320,101,29051103,316350,110,FALSE
3330,86,8420164,7650,7,FALSE
3340,6,585000,102500,0,TRUE
3350,52,3919237,7364,14,FALSE
3360,8,4844000,381000,0,TRUE
3370,251,64310444,280820,207,FALSE
3382,1,150000,150000,0,TRUE
3390,16,1124430,7812,4,FALSE
3410,24,1079622,6342.5,6,FALSE
3430,29,776764,7176,2,FALSE
3440,178,17226923,8280,13,FALSE
3450,15,731920,8637,2,FALSE
3460,80,31230419,417240,124,FALSE
3470,222,59179464,331550,162,FALSE
3480,66,23822853,402705,61,FALSE
4010,11,1978073,69000,0,FALSE
4011,1,30000,30000,0,TRUE
4020,14,116254,5000,1,FALSE
4021,3,50100,16700,-1,TRUE
4030,2,1272100,636050,0,TRUE
4040,16,366665,5000,2,FALSE
4050,11,2975011,91671,0,FALSE
4060,54,3447777,6850,8,FALSE
4070,3,16156,6072,0,TRUE
4080,13,5268752,225000,0,FALSE
4090,34,1356935,5536,3,FALSE
4100,1,0,0,0,TRUE
4110,13,5422313,10000,0,FALSE
4120,31,16451981,302290,14,FALSE
4130,14,12124397,111500,0,FALSE
4140,12,96386,5000,-1,FALSE
4150,3,1058135,153135,0,TRUE
4160,10,459195,11250,1,FALSE
4170,7,1437500,30000,0,TRUE
4180,62,8564754,6838,10,FALSE
4190,5,6000000,1000000,0,TRUE
4200,25,1377427,6624,3,FALSE
4210,2,2400000,1200000,0,TRUE
4220,29,4038596,10000,21,FALSE
4230,23,1955484,6000,4,FALSE
4240,7,158600,10000,2,TRUE
4261,5,2536572,12000,0,TRUE
4270,20,419680,3500,1,FALSE
4280,8,400288,5000,1,TRUE
4290,19,1073116,6578,6,FALSE
4300,15,13253218,120000,0,FALSE
4310,26,548574,6000,5,FALSE
4320,34,51599157,139500,-1,FALSE
4330,4,3274454,185627,0,TRUE
4340,1,2000000,2000000,0,TRUE
4350,4,320600,85300,0,TRUE
4360,14,1160620,23000,0,FALSE
4380,13,150348,10000,2,FALSE
4390,12,1560285,16700,2,FALSE
4400,15,39546977,160000,1,FALSE
4420,2,29950,14975,0,TRUE
4430,9,2179110,25000,0,TRUE
4461,243,75815600,10000,345,FALSE
4462,223,79720169,322740,259,FALSE
4463,4,517000,28000,1,TRUE
4464,1,5000,5000,0,TRUE
4466,55,18051950,419900,42,FALSE
4471,120,41272301,419543.5,142,FALSE
4473,72,26918518,396815,71,FALSE
4474,82,23656624,349030,72,FALSE
4475,20,47545065,180250,0,FALSE
4486,45,16463190,367650,43,FALSE
4487,338,69577366,263245,220,FALSE
4490,7,606850,55000,0,TRUE
4500,22,1316389,4950,-2,FALSE
4510,7,2132800,60000,0,TRUE
4520,60,26919885,130000,0,FALSE
4530,8,9740000,60000,0,TRUE
4540,5,1881000,200000,0,TRUE
4551,165,56172185,366320,190,FALSE
4560,6,437300,12250,0,TRUE
4570,17,1229169,5000,0,FALSE
4580,23,1157340,9500,2,FALSE
4590,11,656680,5000,1,FALSE
4600,6,3523607,20803.5,0,TRUE
4610,8,162000,5000,0,TRUE
4620,16,104908,4984,3,FALSE
4630,16,24909075,298100,0,FALSE
4640,14,7041087,149500,0,FALSE
4650,9,7682267,130000,0,TRUE
4660,6,18873629,270909.5,127,TRUE
4670,6,3430201,163000,0,TRUE
4700,7,74700,8000,0,TRUE
4710,8,106593,7500,0,TRUE
4720,35,254244,5000,0,FALSE
4730,58,11216145,5060,2,FALSE
4740,126,20204279,7450,68,FALSE
4750,287,82123107,307610,309,FALSE
5010,84,12422190,7705,13,FALSE
