Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
5350,34,434941,25500,0,FALSE
5360,16,1140000,100000,0,FALSE
5390,2,503386,251693,0,TRUE
5401,2,1510000,755000,0,TRUE
5430,43,7785996,358333,-63,FALSE
5451,15,4109626,225000,4,FALSE
5452,19,847500,52500,0,FALSE
5453,21,110500,11000,0,FALSE
5454,43,1680000,24500,0,FALSE
5457,18,229500,10000,0,FALSE
5458,73,1429725,20000,2,FALSE
5460,8,94350,17500,0,TRUE
5462,321,88056958,229875,475,FALSE
5463,176,68862163,229250,322,FALSE
5465,60,9870375,306375,29,FALSE
5466,3,2616528,56300,0,TRUE
5467,123,67414123,29500,286,FALSE
5468,16,183576,21750,1,FALSE
5469,130,17885150,215250,112,FALSE
5470,21,906100,49500,0,FALSE
5471,337,6221176,30000,6,FALSE
5472,52,37070188,156250,105,FALSE
5476,37,35795439,100000,115,FALSE
5477,16,3540555,168465,15,FALSE
5480,97,8184952,50000,20,FALSE
5490,6,25000,25000,0,TRUE
5505,99,11624831,40000,35,FALSE
5511,48,311261,17350,0,FALSE
5520,9,45872880,736000,0,TRUE
5530,2,403000,201500,0,TRUE
5540,16,2154875,405875,4,FALSE
5570,147,12494233,43500,29,FALSE
5574,728,140126039,247062.5,709,FALSE
5578,116,28871675,42500,204,FALSE
5579,468,129427187,256125,493,FALSE
5580,61,7005375,160000,22,FALSE
5590,7,90000,10000,0,TRUE
5610,21,761250,23000,1,FALSE
5620,13,227150,30000,0,FALSE
5630,12,1625745,45000,0,FALSE
5640,39,653501,19670,0,FALSE
5642,50,741545,20000,3,FALSE
6010,9,219900,30000,0,TRUE
6020,47,1084030,32500,3,FALSE
6030,15,563075,45000,1,FALSE
6040,83,9040062,197125,44,FALSE
6061,46,1180300,65000,3,FALSE
6070,15,1280600,99000,3,FALSE
6090,3,50000,20000,0,TRUE
6100,6,1116000,40000,0,TRUE
6110,6,19500,3500,0,TRUE
6140,19,728710,22500,2,FALSE
6150,20,535870,14000,0,FALSE
6160,14,1592800,80000,0,FALSE
6170,7,826051,80000,0,TRUE
6180,27,8648604,119998,0,FALSE
6190,7,13701000,130000,0,TRUE
6195,21,7920700,166000,0,FALSE
6200,4,53000,26500,0,TRUE
6211,41,6800500,80000,-1,FALSE
6213,157,2893116,20000,0,FALSE
6214,45,9841488,100000,0,FALSE
6216,654,156767975,216250,834,FALSE
6230,48,3480674,80000,23,FALSE
6240,32,233684,35000,0,FALSE
6260,4,130000,17500,0,TRUE
6270,32,1617700,50000,8,FALSE
6280,15,639875,4500,7,FALSE
6290,59,4373991,56000,31,FALSE
6300,25,399000,30000,0,FALSE
6310,62,18628900,125000,120,FALSE
6320,31,2692885,60000,26,FALSE
6330,22,383700,12000,0,FALSE
6340,6,323200,81700,0,TRUE
6350,41,591773,21000,0,FALSE
6360,79,11820139,150000,79,FALSE
6370,24,1102500,30000,2,FALSE
6380,7,1739650,22000,0,TRUE
6390,31,13379283,150000,42,FALSE
6400,12,180000,40000,-1,FALSE
6410,18,42000,5000,0,FALSE
6420,2,24371,12185.5,0,TRUE
6430,23,10891647,145336,0,FALSE
6441,191,25432786,203375,128,FALSE
6442,42,389300,10000,0,FALSE
6443,49,12857790,24500,50,FALSE
6444,287,14412650,25000,36,FALSE
6445,288,48426810,206375,229,FALSE
6450,12,43001,5000,0,FALSE
6460,16,284710,64355,1,FALSE
6470,9,31000,15500,0,TRUE
6480,15,3494500,538250,18,FALSE
6491,2,200000,200000,0,TRUE
6492,1,86000,86000,0,TRUE
6510,2,135000,67500,0,TRUE
6520,10,6155000,90000,0,FALSE
6530,24,105900,10000,-3,FALSE
6540,4,64929,14964.5,0,TRUE
6550,84,2984490,25000,5,FALSE
6560,12,1070001,21500,0,FALSE
6570,8,852000,55000,0,TRUE
6580,16,720000,50000,1,FALSE
6590,17,10794956,75000,0,FALSE
6600,11,57000,28500,0,FALSE
6610,85,6386501,63000,37,FALSE
6620,2,1236000,618000,0,TRUE
6640,25,72243441,100000,0,FALSE
6650,4,440000,100000,0,TRUE
6661,191,104009216,36000,374,FALSE
6662,152,6304249,20000,0,FALSE
6663,1,609500,609500,1,TRUE
6665,1,20000,20000,0,TRUE
6667,138,34890120,248875,177,FALSE
6669,321,77968000,243000,410,FALSE
6670,15,124000,10000,0,FALSE
6680,21,271452,50000,0,FALSE
6690,32,25460649,106500,0,FALSE
6700,56,13743461,75000,0,FALSE
6710,50,3767532,120875,27,FALSE
6720,3,215000,107500,0,TRUE
6730,24,1745200,48750,0,FALSE
6750,9,129500,15000,-1,TRUE
6760,14,290000,42500,0,FALSE
6770,17,427175,3250,0,FALSE
6780,11,2515302,30000,0,FALSE
6790,38,228769,9000,-1,FALSE
8886,1,0,NA,0,TRUE
8888,2,124750,124750,1,TRUE
8889,7,10954995,500000,0,TRUE
