Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,84,6836441,62500,64,FALSE
1020,24,8156821,75612,0,FALSE
1030,40,9112168,97875,31,FALSE
1070,12,177850,26000,3,FALSE
1080,29,3441375,70625,42,FALSE
1090,186,333597938,180000,308,FALSE
1100,52,4381597,99945,28,FALSE
1111,105,28936057,306530,131,FALSE
1120,4,61000,15000,0,TRUE
1130,12,5669875,618125,13,FALSE
1140,69,15733905,45000,45,FALSE
1151,78,38674106,76000,164,FALSE
1160,31,8309831,35000,51,FALSE
1170,28,1344000,40000,8,FALSE
1180,57,19766995,175000,109,FALSE
1210,27,2770625,73000,31,FALSE
1220,8,312500,45000,1,TRUE
1230,36,52306909,136400,27,FALSE
1240,13,10617130,94000,0,FALSE
1250,35,10221590,435187.5,71,FALSE
1270,10,6834500,90000,0,FALSE
2010,4,2302314,300578.5,0,TRUE
2020,26,2016512,30000,21,FALSE
2030,5,207500,52500,0,TRUE
2040,48,5703662,75000,29,FALSE
2050,11,48000,24000,0,FALSE
2060,13,326125,93062.5,5,FALSE
2070,11,784561,107858,0,FALSE
2080,30,30658008,150000,165,FALSE
2090,23,2365375,168750,22,FALSE
2100,32,2595526,86375,25,FALSE
2110,41,1506000,20000,0,FALSE
2120,9,49619025,180000,282,TRUE
2130,2,0,NA,0,TRUE
2145,23,39811604,1328625,234,FALSE
2160,32,16730978,34000,0,FALSE
2230,24,1657481,38500,10,FALSE
2241,36,18288676,917625,97,FALSE
2251,19,1574400,77500,0,FALSE
2260,18,292100,35000,0,FALSE
2270,3,4000,4000,0,TRUE
2280,51,5291689,50000,14,FALSE
2290,19,4171886,213943,0,FALSE
2311,50,15960465,50000,42,FALSE
2320,3,14000,7000,0,TRUE
2330,56,4442050,80625,32,FALSE
2340,24,274510,27500,0,FALSE
2350,17,2113205,80000,4,FALSE
2360,1,15200,15200,0,TRUE
2380,11,3236000,60000,0,FALSE
2390,13,133000,13000,0,FALSE
2400,7,343463,60000,0,TRUE
2410,24,1156140,20000,0,FALSE
2420,28,2959528,124728,11,FALSE
2430,19,826143,25000,-1,FALSE
2440,189,30815512,210500,150,FALSE
2450,13,740600,45000,2,FALSE
2462,289,68276969,213375,362,FALSE
2463,39,2257250,30000,12,FALSE
2500,9,86500,21500,0,TRUE
2511,15,167900,10000,0,FALSE
2522,202,16289205,47750,67,FALSE
