Neighbourhood ID,n_permits,total_construction_value,median_construction_value,units_added_total,suppressed
1010,79,4467413,5520,15,FALSE
1020,18,755095,16798,-22,FALSE
1030,26,17497720,86750,8,FALSE
1070,7,683510,8000,0,TRUE
1080,31,1397243,5000,7,FALSE
1090,247,551649538,99000,237,FALSE
1100,73,3147690,7252,6,FALSE
1111,10,8155677,120850,0,FALSE
1120,3,93000,25000,0,TRUE
1130,7,439120,14000,5,TRUE
1140,51,12347702,15300,71,FALSE
1151,56,43939866,100000,0,FALSE
1160,26,1541156,6312,5,FALSE
1170,17,4849936,10000,1,FALSE
1180,50,9701702,10000,2,FALSE
1210,32,2451038,10000,4,FALSE
1220,6,2097400,6700,0,TRUE
1230,53,4222991,10000,10,FALSE
1240,9,189184,15000,-14,TRUE
1250,51,3978440,8000,5,FALSE
1270,2,88000,44000,0,TRUE
2010,4,155000,40000,0,TRUE
2020,19,913384,5000,1,FALSE
2030,9,68870,4000,1,TRUE
2040,20,1461452,7567,7,FALSE
2050,15,78672,3500,0,FALSE
2060,17,283320,9000,2,FALSE
2070,10,261102,28500,1,FALSE
2080,27,885338,5350,4,FALSE
2090,10,114842,7936,1,FALSE
2100,35,3676888,9480,8,FALSE
2110,80,7531997,5000,2,FALSE
2120,6,29921,3335,0,TRUE
2130,9,219100,5000,1,TRUE
2145,12,11947000,600000,0,FALSE
2160,21,41212725,250000,0,FALSE
2230,28,557789,5616.5,12,FALSE
2241,19,2758726,8000,24,FALSE
2251,65,20798325,256690,128,FALSE
2260,9,378179,23500,2,TRUE
2270,7,22208,2208,0,TRUE
2280,54,15266733,337250,54,FALSE
2290,20,15727972,23625,7,FALSE
2311,14,10524386,800000,0,FALSE
2320,5,127829,9600,1,TRUE
2330,55,1958189,5060,1,FALSE
2340,52,18676278,6500,96,FALSE
2350,20,16499846,110000,78,FALSE
2360,1,1800000,1800000,0,TRUE
2380,17,4059413,45000,0,FALSE
2390,24,7527354,30000,56,FALSE
2400,19,30454360,115000,1,FALSE
2410,21,395350,7000,6,FALSE
2420,21,616400,15000,4,FALSE
2430,19,4024208,5000,12,FALSE
2440,78,7561491,6200,14,FALSE
2450,13,256962,6038,1,FALSE
2463,199,94279471,309890,521,FALSE
2500,32,2764924,5000,1,FALSE
2511,17,293456,10000,1,FALSE
